adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,unobligated_balance_cpe,tas,tas_with_sub,fiscal_year,period
0,69,, ,2017,0,3513,3513,0,0,0,2018,-1295,119,1295,0,0,3513,0,2218,069-2017-2018- -0119,069-2017-2018- -0119-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,069-0000-0000-X-0120,069-0000-0000-X-0120-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,069-0000-0000-X-0121,069-0000-0000-X-0121-000,2017,9
0,69,X,X,0,0,0,154,154,0,0,0,0,122,0,0,0,154,0,154,069-0000-0000-X-0122,069-0000-0000-X-0122-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,123,0,0,0,0,5,0,069-0000-0000-X-0123,069-0000-0000-X-0123-005,2017,9
0,69,X,X,0,0,0,20163,20163,0,0,0,0,123,0,0,0,20163,0,20163,069-0000-0000-X-0123,069-0000-0000-X-0123-000,2017,9
0,69,X,X,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,069-0000-0000-X-0124,069-0000-0000-X-0124-000,2017,9
3000,69,X,X,0,0,0,26718,23718,0,0,0,-205504,125,6423,0,0,26718,0,20295,069-0000-0000-X-0125,069-0000-0000-X-0125-000,2017,9
0,69,, ,2012,0,0,0,0,0,0,2012,0,125,0,0,0,0,0,0,069-2012-2012- -0125,069-2012-2012- -0125-000,2017,9
0,69,, ,2013,0,0,0,0,0,0,2013,0,125,0,0,0,0,0,0,069-2013-2013- -0125,069-2013-2013- -0125-000,2017,9
0,69,X,X,0,0,0,5747,5647,0,0,0,-87,130,24,100,100,5747,0,5723,069-0000-0000-X-0130,069-0000-0000-X-0130-000,2017,9
4,69,, ,2012,0,0,381,377,0,4,2012,119,130,0,0,0,381,0,381,069-2012-2012- -0130,069-2012-2012- -0130-000,2017,9
1,69,, ,2013,0,0,377,376,0,1,2013,0,130,0,0,0,377,0,377,069-2013-2013- -0130,069-2013-2013- -0130-000,2017,9
26,69,, ,2014,0,0,2948,2922,0,26,2014,0,130,0,0,0,2948,0,2948,069-2014-2014- -0130,069-2014-2014- -0130-000,2017,9
106,69,, ,2015,0,0,630,524,0,106,2015,-251,130,1,0,0,630,0,629,069-2015-2015- -0130,069-2015-2015- -0130-000,2017,9
219,69,, ,2016,0,0,1329,1110,0,219,2016,-6382,130,204,0,0,1329,0,1125,069-2016-2016- -0130,069-2016-2016- -0130-000,2017,9
0,69,, ,2017,0,90152,90652,0,0,0,2017,-56750,130,62095,500,500,90652,0,28557,069-2017-2017- -0130,069-2017-2017- -0130-000,2017,9
0,69,, ,2009,0,0,0,0,0,0,2013,0,131,0,0,0,0,0,0,069-2009-2013- -0131,069-2009-2013- -0131-000,2017,9
2750,69,X,X,0,0,13260,21271,5262,0,88,0,-7031,142,4637,0,0,21271,0,16635,069-0000-0000-X-0142,069-0000-0000-X-0142-000,2017,9
19,69,, ,2007,0,0,248,229,0,19,2012,0,142,0,0,0,248,0,248,069-2007-2012- -0142,069-2007-2012- -0142-000,2017,9
27,69,, ,2010,0,0,149,122,0,27,2015,0,142,0,0,0,149,0,149,069-2010-2015- -0142,069-2010-2015- -0142-000,2017,9
0,69,, ,2011,0,0,0,0,0,0,2012,0,142,0,0,0,0,0,0,069-2011-2012- -0142,069-2011-2012- -0142-000,2017,9
2,69,, ,2011,0,0,3,2,0,2,2016,-6,142,0,0,0,3,0,3,069-2011-2016- -0142,069-2011-2016- -0142-000,2017,9
0,69,, ,2012,0,0,0,0,0,0,2013,0,142,0,0,0,0,0,0,069-2012-2013- -0142,069-2012-2013- -0142-000,2017,9
0,69,, ,2012,0,0,117,117,0,0,2017,-9,142,9,0,0,117,0,108,069-2012-2017- -0142,069-2012-2017- -0142-000,2017,9
237,69,, ,2013,0,0,237,0,0,237,2014,0,142,0,0,0,237,0,237,069-2013-2014- -0142,069-2013-2014- -0142-000,2017,9
0,69,, ,2013,0,0,0,0,0,0,2018,0,142,0,0,0,0,0,0,069-2013-2018- -0142,069-2013-2018- -0142-000,2017,9
0,69,, ,2014,0,0,0,0,0,0,2015,-135,142,0,0,0,0,0,0,069-2014-2015- -0142,069-2014-2015- -0142-000,2017,9
0,69,, ,2015,0,0,0,0,0,0,2016,-91,142,0,0,0,0,0,0,069-2015-2016- -0142,069-2015-2016- -0142-000,2017,9
165,69,, ,2010,0,0,1386,1222,0,165,2012,-2052,143,0,0,0,1386,5,1386,069-2010-2012- -0143,069-2010-2012- -0143-005,2017,9
0,69,, ,2011,0,0,1503,1503,0,0,2013,-11472,143,0,0,0,1503,5,1503,069-2011-2013- -0143,069-2011-2013- -0143-005,2017,9
0,69,, ,2012,0,0,485,485,0,0,2013,-12673,143,0,0,0,485,5,485,069-2012-2013- -0143,069-2012-2013- -0143-005,2017,9
0,69,, ,2013,0,0,490,490,0,0,2014,-27919,143,0,0,0,490,5,490,069-2013-2014- -0143,069-2013-2014- -0143-005,2017,9
128,69,, ,2014,0,0,161,33,0,128,2016,-38988,143,1,0,0,161,5,160,069-2014-2016- -0143,069-2014-2016- -0143-005,2017,9
5539,69,, ,2015,0,0,201528,195989,0,0,2017,-5733,143,108886,0,0,201528,5,92642,069-2015-2017- -0143,069-2015-2017- -0143-005,2017,9
239828,69,, ,2016,0,0,239828,0,0,0,2019,0,143,23500,0,0,239828,5,216328,069-2016-2019- -0143,069-2016-2019- -0143-005,2017,9
90,69,, ,2010,0,0,114,24,0,90,2012,-934,143,0,0,0,114,7,114,069-2010-2012- -0143,069-2010-2012- -0143-007,2017,9
0,69,, ,2011,0,0,2424,2424,0,0,2013,-5227,143,0,0,0,2424,7,2424,069-2011-2013- -0143,069-2011-2013- -0143-007,2017,9
0,69,, ,2012,0,0,0,0,0,0,2013,-12470,143,0,0,0,0,7,0,069-2012-2013- -0143,069-2012-2013- -0143-007,2017,9
0,69,, ,2013,0,0,4,3,0,0,2014,-11885,143,0,0,0,4,7,4,069-2013-2014- -0143,069-2013-2014- -0143-007,2017,9
90,69,, ,2014,0,0,96,6,0,90,2016,-793,143,0,0,0,96,7,96,069-2014-2016- -0143,069-2014-2016- -0143-007,2017,9
6660,69,, ,2015,0,0,82870,76210,0,0,2017,-12805,143,25213,0,0,82870,7,57657,069-2015-2017- -0143,069-2015-2017- -0143-007,2017,9
48766,69,, ,2016,0,0,48766,0,0,0,2019,0,143,0,0,0,48766,7,48766,069-2016-2019- -0143,069-2016-2019- -0143-007,2017,9
0,69,, ,2010,0,0,228,228,0,0,2012,-10154,143,0,0,0,228,11,228,069-2010-2012- -0143,069-2010-2012- -0143-011,2017,9
0,69,, ,2011,0,0,34,34,0,0,2013,-5839,143,0,0,0,34,11,34,069-2011-2013- -0143,069-2011-2013- -0143-011,2017,9
0,69,, ,2012,0,0,23,23,0,0,2013,-17435,143,0,0,0,23,11,23,069-2012-2013- -0143,069-2012-2013- -0143-011,2017,9
0,69,, ,2013,0,0,452,452,0,0,2014,-15902,143,0,0,0,452,11,452,069-2013-2014- -0143,069-2013-2014- -0143-011,2017,9
0,69,, ,2014,0,0,4,3,0,0,2016,-36491,143,1,0,0,4,11,3,069-2014-2016- -0143,069-2014-2016- -0143-011,2017,9
-6092,69,, ,2015,0,0,102160,108252,0,0,2017,-3119,143,61400,0,0,102160,11,40759,069-2015-2017- -0143,069-2015-2017- -0143-011,2017,9
141424,69,, ,2016,0,0,141424,0,0,0,2019,0,143,13324,0,0,141424,11,128100,069-2016-2019- -0143,069-2016-2019- -0143-011,2017,9
19,69,, ,2010,0,0,20,1,0,19,2012,0,143,0,0,0,20,17,20,069-2010-2012- -0143,069-2010-2012- -0143-017,2017,9
0,69,, ,2011,0,0,46,46,0,0,2013,-12643,143,0,0,0,46,17,46,069-2011-2013- -0143,069-2011-2013- -0143-017,2017,9
7,69,, ,2012,0,0,8,1,0,7,2013,-3646,143,0,0,0,8,17,8,069-2012-2013- -0143,069-2012-2013- -0143-017,2017,9
